   45.11.104.146   57695   0.0                 (Hong Kong, Hong Kong, HK, AS) hk-hkg-as57695.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   45.11.104.7     57695   0.189                    (Hong Kong, None, HK, AS) po-07.lag.hkg12.hk.misaka.io                                                                        
   199.119.64.150  969     0.268               (Hong Kong, Hong Kong, HK, AS) po103-10.cr1a.eqhk2.hkg12.hk.917.as                                                                 
   185.229.189.198 60068   0.271               (Hong Kong, Hong Kong, HK, AS) p77-6.cr1a.eqhk2.hkg12.hk.917.as                                                                    
╭─ 36.255.57.38    4651    1.553                         (None, None, HK, AS) 4651-hp1-ix.equinix.com                                                                             
S (4651)  asia-america-gateway-aag-cable-system ✓ || seamewe-3 ✓ || asia-africa-europe-1-aae-1 ✓ || flag-europe-asia-fea ✘
╰─ 61.19.9.121     4651    202.114                       (None, None, TH, AS) *                                                                                                   
   61.19.7.2       4651    200.715                       (None, None, TH, AS) *                                                                                                   
   122.155.224.74  135063  200.9                         (None, None, TH, AS) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   103.253.132.25  59238   201.249                 (Bangkok, Bangkok, TH, AS) th-bkk-as59238.anchors.atlas.ripe.net                                                               
