╭─ 185.148.112.152 37468   0.0                       (Lisbon, Lisbon, PT, EU) 152.112.148.185.angolacables.ao                                                                     
S&T (37468)  tata-tgn-western-europe ✓ || europe-india-gateway-eig ✓ || seamewe-3 ✓
├  10.42.104.1     *       0.405                                          ***                                                                                                     
╰─ 185.148.112.47  37468   38.293                   (London, England, GB, EU) 47.112.148.185.angolacables.ao                                                                      
╭─ 195.66.224.238  201011  38.826                       (London, ENG, GB, EU) ae1-0.lon10.core-backbone.com                                                                       
T (201011)  
╰─ 80.255.14.5     201011  50.662             (Frankfurt am Main, HE, DE, EU) ae14-2021.fra10.core-backbone.com                                                                   
   5.56.20.54      15817   50.888                        (None, None, DE, EU) *                                                                                                   
   178.16.60.129   15817   57.261                        (None, None, DE, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.82.1.3       *       57.954                                         ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
