   171.67.70.16    32      0.0                 (Stanford, California, US, NA) us-pao-as32.anchors.atlas.ripe.net                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   10.214.4.253    *       1.069                                          ***                                                                                                     
   171.66.0.207    32      1.192               (Stanford, California, US, NA)                                                                                                     
   137.164.23.178  2152    2.13                (Stanford, California, US, NA) dc-sfo-agg4--stanford-100g.cenic.net                                                                
   137.164.11.92   2152    2.918                      (Sunnyvale, CA, US, NA) dc-svl-agg8--sfo-agg4-100gbe.cenic.net                                                              
   137.164.11.80   2152    1.972                      (Sunnyvale, CA, US, NA) dc-svl-agg10--svl-agg8-300g.cenic.net                                                               
   206.223.116.196 63949   3.155                     (San Jose, CA, US, None) eqix-sv1.linode.com                                                                                 
   213.52.131.188  *       3.972               (San Jose, California, US, NA) if-0-0-2-997.gw2.fnc1.us.linode.com                                                                 
   173.230.159.71  63949   4.155                        (Fremont, CA, US, NA) if-2-6.csw5-fnc1.linode.com                                                                         
   45.79.110.82    63949   3.991                (Fremont, California, US, NA) li1209-82.members.linode.com                                                                        
