   149.248.18.65   20473   0.0              (Los Angeles, California, US, NA) 149.248.18.65.vultrusercontent.com                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.68.0.49      *       1.618                                          ***                                                                                                     
   10.68.1.9       *       1.409                                          ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   184.105.64.137  6939    25.9                         (Seattle, WA, US, NA) port-channel2.core2.sea1.he.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   216.218.135.206 396507  25.317                       (Seattle, WA, US, NA) emerald-onion.e0-10.switch1.sea2.he.net                                                             
   23.129.64.254   396507  25.696               (Seattle, Washington, US, NA)                                                                                                     
