   152.195.80.35   15133   0.0                     (Atlanta, Georgia, US, NA)                                                                                                     
   152.195.80.33   15133   1.036                   (Atlanta, Georgia, US, NA)                                                                                                     
   129.250.192.225 2914    0.501                   (Atlanta, Georgia, US, NA) ae-3.a02.atlnga05.us.bb.gin.ntt.net                                                                 
   129.250.4.66    2914    0.59 (2.711)                    (None, None, US, NA) ae-17.sayonara-dorian.r22.atlnga05.us.bb.gin.ntt.net                                                
   129.250.4.116   2914    16.545                        (None, None, US, NA) ae-6.sayonara-dorian.r21.dllstx14.us.bb.gin.ntt.net                                                 
   129.250.2.59    2914    16.226                        (None, None, US, NA) ae-1.a00.tokyjp04.jp.bb.gin.ntt.net                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   129.250.3.79    2914    48.846           (Los Angeles, California, US, NA) ae-0.a04.lsanca07.us.bb.gin.ntt.net                                                                 
╭─ 157.238.231.187 2914    48.741           (Los Angeles, California, US, NA)                                                                                                     
S&T (2914, 32098)  arcos © || gignet-1 ✘ || america-movil-submarine-cable-system-1-amx-1 ✘ || maya-1 ✓
╰─ 201.174.251.25  32098   61.721               (Piedras Negras, COA, MX, NA) 201-174-251-25.transtelco.net                                                                       
   201.174.154.26  32098   60.972                     (Saltillo, COA, MX, NA) 201-174-154-26.transtelco.net                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   177.242.222.97  13999   61.93                 (Hermosillo, Sonora, MX, NA) customer-qro-222-97.megared.net.mx                                                                  
   148.225.112.222 4493    62.322                (Hermosillo, Sonora, MX, NA)                                                                                                     
