   176.74.17.75    41000   0.0                  (Manchester, England, GB, EU) uk-mnc-as41000.anchors.atlas.ripe.net                                                               
   176.74.17.65    41000   1.645                   (Salford, England, GB, EU)                                                                                                     
   176.74.23.220   41000   0.885                   (Salford, England, GB, EU) 0.ae1.man1-csw1.uk.as41000.net                                                                      
   176.74.23.244   41000   1.109                   (Salford, England, GB, EU) 2.be2.man1-rt1.uk.as41000.net                                                                       
   212.187.195.241 3356    2.008                   (Salford, England, GB, EU)                                                                                                     
   171.75.8.35     3356    6.748                    (London, England, GB, EU) ae2.3210.edge3.lon1.neo.colt.net                                                                    
╭─ 4.68.63.90      3292    6.72                        (London, None, GB, EU) tdcdenmark-level3-xe.london1.Level3.net                                                             
S&T (3292)  havhingstennorth-sea-connect-nsc ✓
╰─ 83.88.2.215     3292    27.044         (Stilling, Central Jutland, DK, EU) ae5-0.trgnqe10.dk.ip.tdc.net                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   217.28.166.213  3292    26.608            (Århus, Central Jutland, DK, EU)                                                                                                     
