   185.14.96.232   211186  0.0                (Lamía, Central Greece, GR, EU)                                                                                                     
   185.14.96.225   211186  0.595              (Lamía, Central Greece, GR, EU) vlan4090.lamia.fast.net.gr                                                                          
   212.205.28.249  6799    0.768              (Lamía, Central Greece, GR, EU) 249.28.205.212.static.otenet.gr                                                                     
   79.128.234.128  6799    3.511                    (Maroúsi, Attica, GR, EU)                                                                                                     
   62.75.3.17      12713   2.811 (5.784)        (Néa Chalkidóna, Attica, GR, EU) kolasr02-hu-0-8-0-0.ath.oteglobe.gr                                                                 
╭─ 62.75.5.218     *       39.893                    (Athens, Attica, GR, EU)                                                                                                     
S&T (, 199181)  mednautilus-submarine-system ✘ || oteglobe-kokkini-bari ✘ || italy-greece-1 ✘
╰─ 193.201.28.49   199181  60.597                         (Rome, 7, IT, None) orakom-nap.namex.it                                                                                 
   77.39.128.6     199181  60.253                   (Battipaglia, 72, IT, EU) *                                                                                                   
   5.158.64.238    199181  60.333                   (Battipaglia, 72, IT, EU) *                                                                                                   
   5.158.64.189    199181  60.716             (Battipaglia, Campania, IT, EU)                                                                                                     
