   185.184.236.30  45014   0.0            (Hampton in Arden, England, GB, EU) rdns.host-it.co.uk                                                                                  
   185.184.236.26  45014   0.663          (Hampton in Arden, England, GB, EU) rdns.host-it.co.uk                                                                                  
   92.60.104.113   45014   2.816                    (London, England, GB, EU) eth-50.sw1.ld5.slough.as45014.net                                                                   
   92.60.104.118   45014   3.114                    (London, England, GB, EU) eth-51.gw3.rtr.ld5.slough.as45014.net                                                               
   149.11.167.105  174     3.312                    (London, England, GB, EU) te0-5-0-0-9.agr21.lhr01.atlas.cogentco.com                                                          
╭─ 130.117.48.137  174     3.372                        (London, ENG, GB, EU) be3671.ccr51.lhr01.atlas.cogentco.com                                                               
S&T (174)  geo-eirgrid ✘ || exa-north-and-south © || havhingstenceltixconnect-2-cc-2 © || sirius-south ✘ || esat-2 ✘ || rockabill ✘ || exa-express © || solas ©
╰─ 154.54.62.14    174     11.521                         (Dublin, D, IE, EU) be2652.rcr21.dub01.atlas.cogentco.com                                                               
   154.54.57.142   174     11.965                         (Dublin, D, IE, EU) be2743.rcr21.dub02.atlas.cogentco.com                                                               
   154.25.16.170   174     12.386                  (Carlow, Leinster, IE, EU) be4102.nr51.b020478-0.dub02.atlas.cogentco.com                                                      
   149.14.149.234  174     11.991                  (Carlow, Leinster, IE, EU)                                                                                                     
   87.44.53.58     1213    12.326                  (Dublin, Leinster, IE, EU) ae4-0.core1-pw.nn.hea.net                                                                           
   87.44.56.178    1213    12.089                           (Cork, M, IE, EU) po2.pw-spine1.nn.hea.net                                                                            
   193.1.201.140   1213    12.238                (Tallaght, Leinster, IE, EU) atlas-anchor.heanet.ie                                                                              
