   164.39.242.17   31655   0.0                  (Manchester, England, GB, EU)                                                                                                     
   164.39.242.16   31655   0.379             (Trafford Park, England, GB, EU)                                                                                                     
   195.66.225.242  31655   6.918                      (London, ENG, GB, None) hbexbgp-s6503e-1.gammatelecom.com                                                                   
   195.66.225.24   2603    7.164                      (London, ENG, GB, None) *                                                                                                   
╭─ 109.105.102.98  2603    19.734                       (London, ENG, GB, EU) ndn-gw.mx1.lon.uk.geant.net                                                                         
S&T (2603, 20965)  
╰─ 62.40.98.26     20965   28.976                  (Dublin, Leinster, IE, EU) ae6.mx1.dub.ie.geant.net                                                                            
   83.97.88.74     1213    17.037                         (Dublin, D, IE, EU) heanet-ias-heanet-gw.dub.ie.geant.net                                                               
   87.44.53.58     1213    16.629                  (Dublin, Leinster, IE, EU) ae4-0.core1-pw.nn.hea.net                                                                           
   87.44.56.178    1213    16.587                           (Cork, M, IE, EU) po2.pw-spine1.nn.hea.net                                                                            
   193.1.201.140   1213    16.751                (Tallaght, Leinster, IE, EU) atlas-anchor.heanet.ie                                                                              
