   141.170.22.14   33920   0.0                       (Leeds, England, GB, EU) unassigned.aql.com                                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   141.170.18.129  33920   0.406                     (Leeds, England, GB, EU) e1-20.rt1.leeds.aql.com                                                                             
   149.11.42.65    174     0.579                     (Leeds, England, GB, EU) te0-3-1-5.rcr51.lba01.atlas.cogentco.com                                                            
╭─ 154.54.57.249   174     3.058                 (Liverpool, England, GB, EU) be3579.ccr21.lpl01.atlas.cogentco.com                                                               
S&T (174)  geo-eirgrid ✘ || exa-north-and-south © || havhingstenceltixconnect-2-cc-2 © || sirius-south ✘ || esat-2 ✘ || rockabill ✘
╰─ 154.54.62.42    174     9.025                          (Dublin, D, IE, EU) be2654.rcr21.dub01.atlas.cogentco.com                                                               
   154.54.57.142   174     9.561                          (Dublin, D, IE, EU) be2743.rcr21.dub02.atlas.cogentco.com                                                               
   154.25.16.170   174     9.989                   (Carlow, Leinster, IE, EU) be4102.nr51.b020478-0.dub02.atlas.cogentco.com                                                      
   149.14.149.234  174     9.602                   (Carlow, Leinster, IE, EU)                                                                                                     
   87.44.53.58     1213    9.42                    (Dublin, Leinster, IE, EU) ae4-0.core1-pw.nn.hea.net                                                                           
   87.44.56.178    1213    9.517                            (Cork, M, IE, EU) po2.pw-spine1.nn.hea.net                                                                            
   193.1.201.140   1213    9.649                 (Tallaght, Leinster, IE, EU) atlas-anchor.heanet.ie                                                                              
