   185.6.39.132    42953   0.0                        (Cork, Munster, IE, EU)                                                                                                     
   185.6.39.130    42953   1.077                      (Cork, Munster, IE, EU)                                                                                                     
   91.103.0.98     47720   0.834                      (Cork, Munster, IE, EU)                                                                                                     
   91.103.0.64     47720   0.868                      (Cork, Munster, IE, EU)                                                                                                     
   185.1.69.11     42953   4.631                      (Cork, Munster, IE, EU) te0-5-0-3-100-cr2-cwt.hea.net                                                                       
   87.44.50.109    1213    5.001                   (Dublin, Leinster, IE, EU) et1-0-0-0.core1-cork2.nn.hea.net                                                                    
   87.44.50.115    1213    4.971                  (Rathgar, Leinster, IE, EU) et1-0-0-0.core2-cwt.nn.hea.net                                                                      
   87.44.53.64     1213    4.893                   (Dublin, Leinster, IE, EU) ae4-0.core2-pw.nn.hea.net                                                                           
   87.44.53.62     1213    4.76                    (Dublin, Leinster, IE, EU) ae5-0.core1-pw.nn.hea.net                                                                           
   87.44.56.178    1213    4.713                            (Cork, M, IE, EU) po2.pw-spine1.nn.hea.net                                                                            
   193.1.201.140   1213    4.822                 (Tallaght, Leinster, IE, EU) atlas-anchor.heanet.ie                                                                              
