   37.143.141.141  196745  0.0                       (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   37.143.136.252  196745  0.4                     (Bournemouth, ENG, GB, EU) *                                                                                                   
   138.124.175.189 206347  0.791               (Bournemouth, England, GB, EU)                                                                                                     
   138.124.175.173 206347  1.258               (Bournemouth, England, GB, EU)                                                                                                     
   138.124.175.157 206347  1.469               (Bournemouth, England, GB, EU)                                                                                                     
   138.124.175.149 206347  1.974         (Charlton Marshall, England, GB, EU)                                                                                                     
   138.124.175.81  206347  4.436                    (London, England, GB, EU)                                                                                                     
╭─ 195.66.226.204  9498    4.736                      (London, ENG, GB, None) *                                                                                                   
S (9498)  europe-india-gateway-eig 👍 || flag-europe-asia-fea © || seamewe-3 ✓
╰─ 182.79.141.66   9498    144.424                       (None, None, IN, AS) *                                                                                                   
   182.79.27.226   9498    144.634             (Bengaluru, Karnataka, IN, AS)                                                                                                     
   143.244.225.129 *       158.602             (Bengaluru, Karnataka, IN, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   159.65.150.114  14061   152.747        (Doddaballapura, Karnataka, IN, AS) in-blr-as14061.anchors.atlas.ripe.net                                                               
