   104.225.3.74    36236   0.0               (Durham, North Carolina, US, NA) 74.3.225.104.ptr.anycast.net                                                                        
   104.225.3.73    36236   1.017             (Durham, North Carolina, US, NA) 73.3.225.104.ptr.anycast.net                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.225.2.188   36236   0.571             (Durham, North Carolina, US, NA) 188.2.225.104.ptr.anycast.net                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   154.24.54.173   174     2.303             (Durham, North Carolina, US, NA) be4087.rcr71.rdu02.atlas.cogentco.com                                                               
   154.54.90.69    174     8.631                  (Ashburn, Virginia, US, NA) be3203.ccr41.dca01.atlas.cogentco.com                                                               
   154.54.40.105   174     14.555                      (New York, NY, US, NA) be2806.ccr41.jfk02.atlas.cogentco.com                                                               
   154.54.40.153   174     20.061                        (Boston, MA, US, NA) be3471.ccr31.bos01.atlas.cogentco.com                                                               
   ***             *       -inf                                           *** *                                                                                                   
   62.115.122.202  1299    20.941           (New York City, New York, US, NA) nyk-bb1-link.ip.twelve99.net                                                                        
   62.115.112.69   1299    20.254           (New York City, New York, US, NA) nyk-b11-link.ip.twelve99.net                                                                        
   62.115.45.10    1299    21.025           (New York City, New York, US, NA) digitalocean-ic-306498.ip.twelve99-cust.net                                                         
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.131.160.184 14061   20.894               (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
