   148.163.220.5   36236   0.0                 (São Paulo, São Paulo, BR, SA) br-sao-as36236.anchors.atlas.ripe.net                                                               
   148.163.220.1   36236   1.118                 (Barueri, São Paulo, BR, SA)                                                                                                     
   148.163.219.67  203961  1.231                      (São Paulo, SP, BR, SA) 67.219.163.148.ptr.anycast.net                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   185.100.112.28  6762    0.588                 (Barueri, São Paulo, BR, SA)                                                                                                     
╭─ 195.22.219.17   6762    1.223                      (Sao Paulo, SP, BR, SA) et0-0-5.sanpaolo8.spa.seabone.net                                                                   
S (6762, 2914)  
╰─ 149.3.181.65    2914    1.659                         (None, None, US, NA) ntt-verio.sanpaolo8.spa.seabone.net                                                                 
   129.250.2.12    2914    114.995                       (None, None, US, NA) ae-8.sayonara-dorian.r20.nwrknj03.us.bb.gin.ntt.net                                                 
   129.250.3.9     2914    111.925                       (None, None, US, NA) ae-2.a01.londen14.uk.bb.gin.ntt.net                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.131.160.184 14061   113.01               (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
