   31.47.76.181    15954   0.0                       (Madrid, Madrid, ES, EU) ancla.tecnocratica.net                                                                              
   31.47.76.2      15954   0.504                     (Madrid, Madrid, ES, EU) gw445-1.mad01.tecnocratica.net                                                                      
   91.216.219.13   *       0.589                     (Madrid, Madrid, ES, EU) 25g-e4.r2.mad1.tecnocratica.net                                                                     
   195.81.206.17   3257    1.231                     (Madrid, Madrid, ES, EU)                                                                                                     
╭─ 89.149.180.33   3257    1.11                           (Madrid, M, ES, EU) ae16.cr0-mad5.ip4.gtt.net                                                                           
S (3257, 2914)  
╰─ 77.67.95.146    2914    1.398                         (None, None, US, NA) ae-9.r01.mdrdsp03.es.bb.gin.ntt.net                                                                 
   129.250.2.204   2914    1.258                         (None, None, US, NA) ae-16.sayonara-dorian.r08.chcgil09.us.bb.gin.ntt.net                                                
   ***             *       -inf                                           *** *                                                                                                   
   129.250.3.47    2914    16.786                        (None, None, US, NA) ae-0.r20.parsfr04.fr.bb.gin.ntt.net                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   129.250.3.17    2914    87.784                        (None, None, US, NA) ae-1.sayonara-dorian.r00.lsanca07.us.bb.gin.ntt.net                                                 
   157.238.179.70  14061   87.595                      (New York, NY, US, NA) ce-0-12-0-2.r00.nycmny17.us.ce.gin.ntt.net                                                          
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.131.160.184 14061   108.001              (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
