   193.50.97.164   2200    0.0                   (Plouzané, Brittany, FR, EU) anchor.netlab.enstb.org                                                                             
   ***             *       -inf                                           *** *                                                                                                   
   192.108.116.201 50897   0.661                 (Plouzané, Brittany, FR, EU) asr-vlan39.enst-bretagne.fr                                                                         
   193.51.188.10   2200    7.029             (Saint-Brieuc, Brittany, FR, EU) vl807-pc1-brest1-rtr-021.noc.renater.fr                                                             
   193.51.177.174  2200    12.378              (Paris, Île-de-France, FR, EU) et-5-2-1-ren-nr-paris1-rtr-131.noc.renater.fr                                                       
   77.67.123.205   3257    12.159                        (Paris, IDF, FR, EU) ae7-81.cr4-par7.ip4.gtt.net                                                                         
   89.149.183.210  3257    12.364                        (Paris, IDF, FR, EU) et-1-0-13.cr2-par9.ip4.gtt.net                                                                      
╭─ 212.221.87.218  3257    12.52               (Paris, Île-de-France, FR, EU) ip4.gtt.net                                                                                         
S (3257, 2914)  
╰─ 129.250.4.146   2914    12.536                        (None, None, US, NA) ae-8.r20.parsfr04.fr.bb.gin.ntt.net                                                                 
   129.250.4.194   2914    86.096                        (None, None, US, NA) ae-14.sayonara-dorian.r21.nwrknj03.us.bb.gin.ntt.net                                                
   129.250.3.17    2914    85.165                        (None, None, US, NA) ae-1.sayonara-dorian.r00.lsanca07.us.bb.gin.ntt.net                                                 
   157.238.179.70  14061   85.485                      (New York, NY, US, NA) ce-0-12-0-2.r00.nycmny17.us.ce.gin.ntt.net                                                          
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.131.160.184 14061   85.848               (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
