   104.238.161.230 20473   0.0                          (Ōi, Saitama, JP, AS) 104.238.161.230.vultrusercontent.com                                                                
   ***             *       -inf                                           *** *                                                                                                   
   209.222.31.33   20473   15.665              (Motoyoyogichō, Tokyo, JP, AS) vl199-ds1-j2-r235.tyo2.constant.com                                                                 
   10.71.1.9       *       1.133                                          ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
╭─ 120.88.54.97    2914    0.674                       (Tokyo, Tokyo, JP, AS) ce-3-5-3.a01.tokyjp09.jp.bb.gin.ntt.net                                                             
S (2914)  
╰─ 129.250.7.55    2914    1.14                          (None, None, US, NA) ae-1.r30.tokyjp05.jp.bb.gin.ntt.net                                                                 
   129.250.5.78    2914    109.816                       (None, None, US, NA) ae-4.sayonara-dorian.r25.snjsca04.us.bb.gin.ntt.net                                                 
   129.250.2.241   2914    109.381                       (None, None, US, NA) ae-12.r23.sngpsi07.sg.bb.gin.ntt.net                                                                
   157.238.227.41  2914    106.404          (Foster City, California, US, NA) ae-0.digital-ocean.snjsca04.us.bb.gin.ntt.net                                                       
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   128.199.5.28    14061   110.162          (Santa Clara, California, US, NA) us-sjc-as14061.anchors.atlas.ripe.net                                                               
