   74.119.118.17   19750   0.0                        (Dallas, Texas, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   100.66.0.44     *       0.379                                          ***                                                                                                     
   100.66.0.45     *       0.501                                          ***                                                                                                     
   76.74.14.213    3257    1.839                      (Dallas, Texas, US, NA) et-3-0-11.cr8-dal3.ip4.gtt.net                                                                      
   213.200.115.26  3257    1.87                          (Dallas, TX, US, NA) ae11.cr7-dal3.ip4.gtt.net                                                                           
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   4.71.117.218    14061   40.571                      (San Jose, CA, US, NA) DIGITAL-OCE.edge9.SanJose1.Level3.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   128.199.5.28    14061   40.199           (Santa Clara, California, US, NA) us-sjc-as14061.anchors.atlas.ripe.net                                                               
