   63.222.40.114   3491    0.0                       (Taipei, Taiwan, TW, AS) ncic.te0-1-0-23.br01.tap04.as3491.net                                                               
   63.222.40.113   3491    0.987                      (Neihu, Taiwan, TW, AS) te0-1-0-23.br01.tap04.as3491.net                                                                    
   63.222.40.10    4637    1.179                        (Taipei, TAO, TW, AS) 63-222-40-10.static.pccwglobal.net                                                                  
╭─ 202.84.137.254  4637    2.555                      (Neihu, Taiwan, TW, AS) i-91.ttak-core02.telstraglobal.net                                                                  
S (4637)  apcn-2 👍 || faster ✓ || eac-c2c 👍 || asia-pacific-gateway-apg ✓
╰─ 202.84.143.5    4637    32.535                      (Tokyo, Tokyo, JP, AS) i-15735.siko-core02.telstraglobal.net                                                               
   202.84.148.70   4637    31.914                      (Tokyo, Tokyo, JP, AS) unknown.telstraglobal.net                                                                           
   210.57.79.17    4637    32.18                       (Tokyo, Tokyo, JP, AS) unknown.telstraglobal.net                                                                           
   ***             *       -inf                                           *** *                                                                                                   
   182.161.74.64   55569   32.301                      (Tokyo, Tokyo, JP, AS)                                                                                                     
   182.161.74.241  55569   32.405                      (Tokyo, Tokyo, JP, AS)                                                                                                     
