   192.158.252.10  1280    0.0            (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
   192.158.252.3   1280    0.296              (Palo Alto, California, US, NA) r2.pao2-guests.isc.org                                                                              
   198.32.176.64   4637    0.727                      (Palo Alto, CA, US, NA) *                                                                                                   
╭─ 202.84.251.61   4637    0.655 (2.658)          (San Jose, California, US, NA) i-1041.eqnx-core02.telstraglobal.net                                                                
S (4637)  faster ✓ || japan-u-s-cable-network-jus 👍 || pacific-crossing-1-pc-1 ✓ || jupiter ✓ || tata-tgn-pacific ✓
╰─ 202.84.141.2    4637    110.582                     (Tokyo, Tokyo, JP, AS) i-15708.siko-core02.telstraglobal.net                                                               
   202.84.148.70   4637    108.912                     (Tokyo, Tokyo, JP, AS) unknown.telstraglobal.net                                                                           
   210.57.79.15    4637    104.654                     (Tokyo, Tokyo, JP, AS) unknown.telstraglobal.net                                                                           
   ***             *       -inf                                           *** *                                                                                                   
   182.161.74.64   55569   108.202                     (Tokyo, Tokyo, JP, AS)                                                                                                     
   182.161.74.241  55569   104.771                     (Tokyo, Tokyo, JP, AS)                                                                                                     
