   185.249.157.253 34428   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   185.249.157.252 34428   0.236          (Parco degli Ulivi, Sicily, IT, EU)                                                                                                     
   185.249.157.255 34428   1.751          (Parco degli Ulivi, Sicily, IT, EU)                                                                                                     
   195.22.198.36   6762    2.468                    (Palermo, Sicily, IT, EU) xe4-0-3-1025.palermo3.pal.seabone.net                                                               
   195.22.196.69   6762    25.426                         (Milan, 25, IT, EU) ae0.milano52.mil.seabone.net                                                                        
╭─ 195.22.196.69   6762    25.426                         (Milan, 25, IT, EU) ae0.milano52.mil.seabone.net                                                                        
LHL (6762, 2914)  seamewe-4 👍 ↠ apollo ✓ || seamewe-4 👍 ↠ flag-atlantic-1-fa-1 © || asia-africa-europe-1-aae-1 ✓ ↠ apollo ✓ || asia-africa-europe-1-aae-1 ✓ ↠ flag-atlantic-1-fa-1 © || seamewe-5 👍 ↠ apollo ✓ || seamewe-5 👍 ↠ flag-atlantic-1-fa-1 © || imewe 👍 ↠ apollo ✓ || imewe 👍 ↠ flag-atlantic-1-fa-1 © || seamewe-3 👍 ↠ apollo ✓ || seamewe-3 👍 ↠ flag-atlantic-1-fa-1 ©
╰─ 129.250.9.41    2914    24.144                        (None, None, US, NA) ae-8.r00.mlanit02.it.bb.gin.ntt.net                                                                 
   129.250.3.120   2914    26.148                        (None, None, US, NA) ae-11.sayonara-dorian.r24.snjsca04.us.bb.gin.ntt.net                                                
   129.250.4.188   2914    39.225                        (None, None, US, NA) ae-10.r21.parsfr04.fr.bb.gin.ntt.net                                                                
   129.250.3.47    2914    39.205                        (None, None, US, NA) ae-0.r20.parsfr04.fr.bb.gin.ntt.net                                                                 
   129.250.4.194   2914    107.669                       (None, None, US, NA) ae-14.sayonara-dorian.r21.nwrknj03.us.bb.gin.ntt.net                                                
   129.250.6.16    2914    118.335                       (None, None, US, NA) ae-0.sayonara-dorian.r20.nwrknj03.us.bb.gin.ntt.net                                                 
   129.250.6.177   2914    174.531                       (None, None, US, NA) ae-4.sayonara-dorian.r24.sttlwa01.us.bb.gin.ntt.net                                                 
   129.250.4.143   2914    260.283                       (None, None, US, NA) ae-13.r30.tokyjp05.jp.bb.gin.ntt.net                                                                
╭─ 129.250.7.14    2914    247.433                       (None, None, US, NA) ae-0.a00.tokyjp09.jp.bb.gin.ntt.net                                                                 
S (2914, 4637)  
╰─ 210.57.79.15    4637    269.732                     (Tokyo, Tokyo, JP, AS) unknown.telstraglobal.net                                                                           
   ***             *       -inf                                           *** *                                                                                                   
   182.161.74.64   55569   269.693                     (Tokyo, Tokyo, JP, AS)                                                                                                     
   182.161.74.241  55569   269.805                     (Tokyo, Tokyo, JP, AS)                                                                                                     
