   213.238.162.218 48292   0.0                   (Istanbul, Istanbul, TR, AS) tr-ist-as48292.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   77.92.111.189   25145   0.993                 (Ataşehir, Istanbul, TR, AS) ge-0-0-1.ist.tr.link.intibu.com                                                                     
   93.186.132.148  6762    2.205                 (Istanbul, Istanbul, TR, AS) xe0-0-2.istanbul1.ist.seabone.net                                                                   
   93.186.132.207  6762    2.855                       (Istanbul, 34, TR, AS) ae0.istanbul6.ist.seabone.net                                                                       
   93.186.132.209  6762    4.521                       (Istanbul, 34, TR, AS) vodafone-turkey.istanbul6.ist.seabone.net                                                           
   10.135.55.66    *       4.209                                          ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   10.188.148.113  *       5.464                                          ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   46.221.30.29    202536  4.922                         (None, None, TR, AS) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   185.92.0.41     202536  7.814                     (İzmit, Kocaeli, TR, AS) tr-kfz-as202536.anchors.atlas.ripe.net                                                              
