   62.80.227.146   25406   0.0                   (Šiauliai, Siauliai, LT, EU) hst-227-146.splius.lt                                                                               
   62.80.227.1     25406   0.175                 (Šiauliai, Siauliai, LT, EU) hst-227-1.splius.lt                                                                                 
   62.80.224.111   25406   0.252                 (Šiauliai, Siauliai, LT, EU) sl-111.splius.lt                                                                                    
   84.32.142.177   33922   3.781                   (Vilnius, Vilnius, LT, EU)                                                                                                     
   213.226.157.80  13194   3.532                   (Vilnius, Vilnius, LT, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
╭─ 84.15.68.95     13194   18.623                  (Vilnius, Vilnius, LT, EU)                                                                                                     
S (13194, )  
╰─ 194.68.123.240  *       19.446              (Stockholm, Stockholm, SE, EU) netnod-ix-ge-a-sth-1500.excedo.se                                                                   
   193.180.242.94  199150  987.931                        (Solna, AB, SE, EU) *                                                                                                   
   193.180.242.86  199150  19.388                  (Solna, Stockholm, SE, EU)                                                                                                     
