   95.47.236.146   204671  0.0                    (Tallinn, Harjumaa, EE, EU) node-95-47-236-146.ptr.habranet.net                                                                 
   95.47.236.145   204671  1.515                  (Tallinn, Harjumaa, EE, EU) node-95-47-236-145.ptr.habranet.net                                                                 
   10.200.40.8     *       0.207                                          ***                                                                                                     
   10.200.40.1     *       0.295                                          ***                                                                                                     
   184.104.205.101 6939    0.641                  (Tallinn, Harjumaa, EE, EU) e0-11.switch1.tll1.he.net                                                                           
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
