   102.130.49.144  328383  0.0                (Johannesburg, Gauteng, ZA, AF) za-jnb-as57695.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   102.130.49.3    328383  0.249              (Johannesburg, Gauteng, ZA, AF) spine2.v271.jnb01.za.misaka.io                                                                      
   102.130.51.2    *       0.31               (Johannesburg, Gauteng, ZA, AF) e54-1-10.cr1a.tdjb1.jnb1.za.917.as                                                                  
   196.60.8.126    3741    1.092                  (Johannesburg, 6, ZA, None) is.ixp.joburg                                                                                       
   168.209.1.165   3741    1.434                         (None, None, ZA, AF) mi-za-pkl-p7-be-202-102.ip.ddii.network                                                             
   168.209.88.128  3741    1.75                          (None, None, ZA, AF) mi-za-pkl-br7-be-302.ip.ddii.network                                                                
   196.33.119.97   3741    2.017                        (Breyten, MP, ZA, AF) mi-za-bry-pe6-gi2-0-3012.ip.isnet.net                                                               
╭─ 196.33.119.98   3491    1.923                   (Johannesburg, GT, ZA, AF) *                                                                                                   
S (3491)  safe 👍
╰─ 63.218.166.226  3491    123.496               (Kuala Lumpur, None, MY, AS) TenGE0-2-0-3.br02.klp01.pccwbtn.net                                                                 
   63.222.188.9    3491    124.601       (Kuala Lumpur, Kuala Lumpur, MY, AS)                                                                                                     
