   196.40.111.147  37153   0.0              (Cape Town, Western Cape, ZA, AF) atlas-anchor-cpt3.cpt.net.host-h.net                                                                
   196.40.111.145  37153   1.997 (24.666)       (Cape Town, Western Cape, ZA, AF)                                                                                                     
   196.40.108.2    37153   0.334            (Cape Town, Western Cape, ZA, AF)                                                                                                     
   196.60.70.126   *       1.44              (Rosebank, Western Cape, ZA, AF) 196-60-70-126.ixp.capetown                                                                          
   168.209.6.10    3741    1.368                         (None, None, ZA, AF) ar2-ctn-ten-ge-0-0-2-1.ip.ddii.network                                                              
   168.209.28.2    3741    1.732                      (Cape Town, WC, ZA, AF) mi-za-cpt-br4-ten-0-0-2-2sub2.ip.ddii.network                                                       
   196.33.119.97   3741    19.344                       (Breyten, MP, ZA, AF) mi-za-bry-pe6-gi2-0-3012.ip.isnet.net                                                               
╭─ 196.33.119.98   3491    18.297                  (Johannesburg, GT, ZA, AF) *                                                                                                   
S (3491)  safe 👍
╰─ 63.218.166.222  3491    230.821               (Kuala Lumpur, None, MY, AS) TenGE0-2-0-0.br02.klp01.pccwbtn.net                                                                 
   63.222.188.9    3491    232.318       (Kuala Lumpur, Kuala Lumpur, MY, AS)                                                                                                     
