   103.202.216.76  59105   0.0                         (Chōfu, Tokyo, JP, AS)                                                                                                     
   103.202.216.73  59105   0.358                       (Tokyo, Tokyo, JP, AS) ge-2-1-0.pop03er03.bb.homenoc.ad.jp                                                                 
   103.48.31.122   59105   5.556                         (None, None, JP, AS) v106.gi0-0-2.noc01cr01.bb.homenoc.ad.jp                                                             
   103.48.31.67    59105   5.618                         (None, None, JP, AS) ge-0-0-10.noc01er01.bb.homenoc.ad.jp                                                                
   133.208.55.17   2518    11.067                      (Tokyo, Tokyo, JP, AS)                                                                                                     
   133.208.191.40  2518    11.519                        (Nagoya, 23, JP, AS) *                                                                                                   
   133.208.197.73  2518    15.882                        (Nagoya, 23, JP, AS) *                                                                                                   
   133.208.193.203 2518    15.753                        (Nagoya, 23, JP, AS) *                                                                                                   
   62.115.185.82   1299    16.069                      (Osaka, Ōsaka, JP, AS) osa-b1-link.ip.twelve99.net                                                                         
   62.115.115.64   1299    22.79                       (Tokyo, Tokyo, JP, AS) tky-b2-link.ip.twelve99.net                                                                         
╭─ 62.115.126.135  1299    23.44                       (Tokyo, Tokyo, JP, AS) tky-b3-link.ip.twelve99.net                                                                         
S (1299)  japan-u-s-cable-network-jus ✓ || tata-tgn-pacific ✓ || pacific-crossing-1-pc-1 ✓
╰─ 62.115.127.10   1299    135.303                 (Portland, Oregon, US, NA) port-b3-link.ip.twelve99.net                                                                        
   62.115.142.89   1299    126.991                 (Portland, Oregon, US, NA) port-b2-link.ip.twelve99.net                                                                        
   62.115.139.133  1299    127.601              (Seattle, Washington, US, NA) sea-b3-link.ip.twelve99.net                                                                         
   62.115.132.157  1299    130.591              (Seattle, Washington, US, NA) sea-b1-link.ip.twelve99.net                                                                         
   62.115.166.37   1299    108.581              (Seattle, Washington, US, NA) datacamp-ic-383205.ip.twelve99-cust.net                                                             
   84.17.33.11     60068   108.376              (Seattle, Washington, US, NA) po77-3529.cr01.sea02.us.misaka.io                                                                   
   170.39.227.9    35487   108.126                      (Seattle, WA, US, NA) po-09.lag.sea02.us.misaka.io                                                                        
   170.39.227.194  917     108.309              (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
