   202.46.184.4    38064   0.0                   (Auckland, Auckland, NZ, OC)                                                                                                     
   202.46.184.1    38064   0.387                 (Auckland, Auckland, NZ, OC)                                                                                                     
   14.1.54.101     45177   1.002                      (Auckland, AUK, NZ, OC) lt-6-2-0-22.mdr-cr2.as45177.net.nz                                                                  
   210.176.42.82   45177   1.097                      (Auckland, AUK, NZ, OC) unknown.telstraglobal.net                                                                           
   210.176.42.81   4637    2.014                 (Auckland, Auckland, NZ, OC) unknown.telstraglobal.net                                                                           
╭─ 202.84.227.53   4637    1.422                 (Auckland, Auckland, NZ, OC) i-93.tauc-core02.telstraglobal.net                                                                  
S (4637)  southern-cross-cable-network-sccn 👍 || southern-cross-next 👍
╰─ 202.84.138.82   4637    126.354          (Los Angeles, California, US, NA)                                                                                                     
   202.84.138.82   4637    126.354          (Los Angeles, California, US, NA)                                                                                                     
   202.40.149.177  4637    126.039                  (Los Angeles, CA, US, NA) i-91.tlot02.telstraglobal.net                                                                       
   66.208.233.213  7922    126.281          (Los Angeles, California, US, NA) be-208-pe01.losangeles.ca.ibone.comcast.net                                                         
   96.110.44.109   7922    126.1                    (Los Angeles, CA, US, NA) be-2401-cs04.losangeles.ca.ibone.comcast.net                                                        
   96.110.45.186   7922    126.311                  (Los Angeles, CA, US, NA) be-1411-cr11.losangeles.ca.ibone.comcast.net                                                        
   96.110.36.154   7922    154.104                       (None, None, US, NA) be-303-cr11.9greatoaks.ca.ibone.comcast.net                                                         
   68.86.166.165   7922    154.143                       (None, None, US, NA) be-1411-cs04.9greatoaks.ca.ibone.comcast.net                                                        
   68.86.166.170   7922    155.275                       (None, None, US, NA) be-1412-cr12.9greatoaks.ca.ibone.comcast.net                                                        
   96.110.37.181   7922    134.545                    (Sunnyvale, CA, US, NA) be-304-cr12.sunnyvale.ca.ibone.comcast.net                                                          
   96.110.46.29    7922    135.966                    (Sunnyvale, CA, US, NA) be-1312-cs03.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.46.34    7922    136.247                    (Sunnyvale, CA, US, NA) be-1313-cr13.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.36.126   7922    170.91                      (Portland, OR, US, NA) be-302-cr11.portland.or.ibone.comcast.net                                                           
   96.110.47.1     7922    172.377                     (Portland, OR, US, NA) be-1411-cs04.portland.or.ibone.comcast.net                                                          
   96.110.47.6     7922    170.931                     (Portland, OR, US, NA) be-1412-cr12.portland.or.ibone.comcast.net                                                          
   96.110.38.45    7922    171.15                       (Seattle, WA, US, NA) be-304-cr12.seattle.wa.ibone.comcast.net                                                            
   96.110.47.181   7922    172.681                      (Seattle, WA, US, NA) be-1112-cs01.seattle.wa.ibone.comcast.net                                                           
   96.110.34.130   7922    170.971                      (Seattle, WA, US, NA) be-2112-pe12.seattle.wa.ibone.comcast.net                                                           
   50.248.116.122  60068   155.215                       (None, None, US, NA) *                                                                                                   
   84.17.33.11     60068   155.4                (Seattle, Washington, US, NA) po77-3529.cr01.sea02.us.misaka.io                                                                   
   170.39.227.9    35487   155.321                      (Seattle, WA, US, NA) po-09.lag.sea02.us.misaka.io                                                                        
   170.39.227.194  917     155.467              (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
