   63.222.187.5    3491    0.0                 (Manila, Metro Manila, PH, AS)                                                                                                     
╭─ 63.222.187.14   3491    0.91               (Bel Air, Metro Manila, PH, AS)                                                                                                     
S (3491)  sea-us ✓ || jupiter 👍 || pacific-light-cable-network-plcn ✓ || asia-america-gateway-aag-cable-system ✓
╰─ 63.218.72.230   3491    173.605                  (Los Angeles, CA, US, NA) HundredGE0-5-0-0.br03.lax05.pccwbtn.net                                                             
   63.218.73.174   3491    180.326          (Los Angeles, California, US, NA) 63-218-73-174.static.pccwglobal.net                                                                 
   96.110.44.105   7922    173.86                   (Los Angeles, CA, US, NA) be-2301-cs03.losangeles.ca.ibone.comcast.net                                                        
   96.110.45.178   7922    195.88                   (Los Angeles, CA, US, NA) be-1311-cr11.losangeles.ca.ibone.comcast.net                                                        
   96.110.36.158   7922    176.992                       (None, None, US, NA) be-304-cr11.9greatoaks.ca.ibone.comcast.net                                                         
   68.86.166.153   7922    176.956                       (None, None, US, NA) be-1311-cs03.9greatoaks.ca.ibone.comcast.net                                                        
   68.86.166.158   7922    177.124                       (None, None, US, NA) be-1312-cr12.9greatoaks.ca.ibone.comcast.net                                                        
   96.110.37.169   7922    177.515                    (Sunnyvale, CA, US, NA) be-301-cr12.sunnyvale.ca.ibone.comcast.net                                                          
   96.110.46.5     7922    181.2                      (Sunnyvale, CA, US, NA) be-1112-cs01.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.46.10    7922    177.706                    (Sunnyvale, CA, US, NA) be-1113-cr13.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.36.126   7922    199.057                     (Portland, OR, US, NA) be-302-cr11.portland.or.ibone.comcast.net                                                           
   96.110.47.1     7922    197.442                     (Portland, OR, US, NA) be-1411-cs04.portland.or.ibone.comcast.net                                                          
   96.110.47.6     7922    199.143                     (Portland, OR, US, NA) be-1412-cr12.portland.or.ibone.comcast.net                                                          
   96.110.38.41    7922    198.982                      (Seattle, WA, US, NA) be-303-cr12.seattle.wa.ibone.comcast.net                                                            
   96.110.47.217   7922    197.531                      (Seattle, WA, US, NA) be-1412-cs04.seattle.wa.ibone.comcast.net                                                           
   96.110.34.142   7922    199.153                      (Seattle, WA, US, NA) be-2412-pe12.seattle.wa.ibone.comcast.net                                                           
   50.248.116.122  60068   197.144                       (None, None, US, NA) *                                                                                                   
   84.17.33.11     60068   198.688              (Seattle, Washington, US, NA) po77-3529.cr01.sea02.us.misaka.io                                                                   
   170.39.227.9    35487   198.786                      (Seattle, WA, US, NA) po-09.lag.sea02.us.misaka.io                                                                        
   170.39.227.194  917     199.083              (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
