   213.192.184.42  6667    0.0                    (Helsinki, Uusimaa, FI, EU) ae1-0.bbr1.sto2.se.eunetip.net                                                                      
╭─ 213.192.184.41  6667    0.0                    (Helsinki, Uusimaa, FI, EU) ae0-0.bbr1.sto4.se.eunetip.net                                                                      
S&T (6667)  c-lion1 ✘
╰─ 213.192.184.159 6667    20.997          (Frankfurt am Main, Hesse, DE, EU)                                                                                                     
   80.255.14.97    201011  20.997          (Frankfurt am Main, Hesse, DE, EU) ae26-0.fra30.core-backbone.com                                                                      
   81.95.15.69     201011  21.997             (Frankfurt am Main, HE, DE, EU) ae2-2029.fra10.core-backbone.com                                                                    
   80.255.15.22    13101   21.997             (Frankfurt am Main, HE, DE, EU) core-backbone.tng.de                                                                                
   213.178.75.196  13101   20.997             (Frankfurt am Main, HE, DE, EU) fra1.tng.de                                                                                         
   213.178.80.64   13101   27.997                       (Hamburg, HH, DE, EU) ham1.tng.de                                                                                         
   213.178.80.32   13101   28.996                          (Kiel, SH, DE, EU) kel1.tng.de                                                                                         
   213.178.75.135  13101   28.996          (Kiel, Schleswig-Holstein, DE, EU) kel3.tng.de                                                                                         
   82.97.188.1     13101   29.996                        (None, None, DE, EU) rtr1.gallifrey.tng.de                                                                               
   213.158.113.5   13101   29.996                  (Hamburg, Hamburg, DE, EU) ripe-anchor.gallifrey.tng.de                                                                        
