   192.42.97.214   8473    0.0                         (Malmö, Skåne, SE, EU) se-mma-as8473.anchors.atlas.ripe.net                                                                
   192.42.97.213   8473    0.794                       (Malmö, Skåne, SE, EU)                                                                                                     
   46.59.112.206   8473    9.854                       (Malmö, Skåne, SE, EU) mmo-cr4.mmo-cr3.bahnhof.net                                                                         
   46.59.112.132   8473    9.971                      (Stockholm, AB, SE, EU) mmo-cr3.sto-cr4.bahnhof.net                                                                         
   46.59.113.120   8473    9.945                      (Stockholm, AB, SE, EU) sto-cr4.sto-cr2.bahnhof.net                                                                         
   46.59.112.86    8473    11.779              (Stockholm, Stockholm, SE, EU) sto-cr2.sto2-p1.as8473.net                                                                          
   85.24.220.18    8473    9.777               (Stockholm, Stockholm, SE, EU) sto5-er1.se.as8473.net                                                                              
╭─ 194.68.123.117  201011  9.844                    (Stockholm, 26, SE, None) netnod-ix-ge-a-sth-1500.core-backbone.com                                                           
S&T (201011)  baltica ✘
╰─ 80.255.14.193   201011  20.463             (Frankfurt am Main, HE, DE, EU) ae13-2081.fra10.core-backbone.com                                                                   
   80.255.15.22    13101   20.405             (Frankfurt am Main, HE, DE, EU) core-backbone.tng.de                                                                                
   213.178.75.196  13101   20.423             (Frankfurt am Main, HE, DE, EU) fra1.tng.de                                                                                         
   213.178.80.64   13101   26.421                       (Hamburg, HH, DE, EU) ham1.tng.de                                                                                         
   213.178.80.32   13101   28.398                          (Kiel, SH, DE, EU) kel1.tng.de                                                                                         
   213.178.75.135  13101   28.525          (Kiel, Schleswig-Holstein, DE, EU) kel3.tng.de                                                                                         
   82.97.188.1     13101   28.376                        (None, None, DE, EU) rtr1.gallifrey.tng.de                                                                               
   213.158.113.5   13101   28.569                  (Hamburg, Hamburg, DE, EU) ripe-anchor.gallifrey.tng.de                                                                        
