   182.161.73.41   55569   0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   100.66.0.44     *       0.793                                          ***                                                                                                     
   100.66.0.45     *       0.712                                          ***                                                                                                     
   128.241.10.116  2914    0.974               (Singapore, Singapore, SG, AS) ce-1-1-3.a02.sngpsi07.sg.bb.gin.ntt.net                                                             
   63.216.144.9    3491    1.04                        (Singapore, 4, SG, AS) 63-216-144-9.static.pccwglobal.net                                                                  
   63.218.164.146  3491    1.042               (Singapore, Singapore, SG, AS) be43.br06.sin02.as3491.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
