   46.244.63.73    49784   0.0                   (Veendam, Groningen, NL, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   185.185.244.249 49784   4.677                       (Ubbergen, GE, NL, EU) cr1.ap05-vdm.netvisit.nl                                                                            
   185.185.244.248 43414   5.501           (Amsterdam, North Holland, NL, EU) tr4-199.cr1a.nkhf-asd.h2b.nl                                                                        
   93.158.217.206  50673   10.381           (Ransdorp, North Holland, NL, EU)                                                                                                     
   185.8.179.34    12654   13.552                        (None, None, NL, EU) *                                                                                                   
╭─ 80.249.211.221  15943   8.774                       (Schiphol, NH, NL, EU) ams-ix.b6777.Kermit.ipv4.wtnet.de                                                                   
T (15943)  
╰─ 84.46.113.252   15943   17.552                   (Norderstedt, SH, DE, EU) b31040.Bibo.ipv4.wtnet.de                                                                           
   84.46.112.70    15943   23.073                   (Norderstedt, SH, DE, EU) b54.Ernie.ipv4.wtnet.de                                                                             
   84.46.114.33    15943   15.323                  (Hamburg, Hamburg, DE, EU) b99.hbko-asr-gk.ipv4.wtnet.de                                                                       
   84.46.110.247   200567  45.509                       (Hamburg, HH, DE, EU) vl_mdex_gmbh.asr-buchenweg-gk.ipv4.wtnet.de                                                         
   62.214.137.218  200567  24.82              (Frankfurt am Main, HE, DE, EU) fra1ik113.versatel.de                                                                               
   185.70.144.118  200567  21.459                  (Hamburg, Hamburg, DE, EU)                                                                                                     
