   94.207.43.2     57187   0.0                         (Dubai, Dubai, AE, AS) -094-207-043-002.datamena.net                                                                       
   94.207.43.1     57187   0.508                       (Dubai, Dubai, AE, AS) j48-1.dxa.dxb.ae.datamena.net                                                                       
   185.1.8.5       *       1.21                        (Dubai, Dubai, AE, AS) uddm01.telstraglobal.net                                                                            
╭─ 202.84.204.46   4637    1.772                       (Dubai, Dubai, AE, AS) i-102.uddm-core01.telstraglobal.net                                                                 
S (4637)  seamewe-3 👍 || seamewe-5 ✓
╰─ 202.84.207.189  4637    192.605             (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.207.189  4637    192.605             (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.224.197  4637    193.76              (Singapore, Singapore, SG, AS) i-91.istt04.telstraglobal.net                                                                       
   210.57.38.225   4637    77.791              (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   172.70.140.3    13335   79.221                   (Singapore, None, SG, AS) *                                                                                                   
   172.69.166.175  13335   77.199              (Singapore, Singapore, SG, AS)                                                                                                     
   172.69.166.155  13335   77.306              (Singapore, Singapore, SG, AS)                                                                                                     
   172.69.166.239  13335   77.537              (Singapore, Singapore, SG, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   103.156.251.7   141235  78.192              (Singapore, Singapore, SG, AS)                                                                                                     
