   63.222.248.5    3491    0.0                         (Dubai, Dubai, AE, AS)                                                                                                     
╭─ 63.222.248.14   3491    0.926                       (Dubai, Dubai, AE, AS)                                                                                                     
S (3491)  seamewe-3 👍 || seamewe-5 ✓
╰─ 63.223.34.146   3491    77.77                       (Singapore, 4, SG, AS) bundle-ether46.br06.sin02.pccwbtn.net                                                               
   63.218.213.54   3491    78.106              (Singapore, Singapore, SG, AS) 63-218-213-54.static.pccwglobal.net                                                                 
   162.158.116.3   13335   78.513              (Singapore, Singapore, SG, AS)                                                                                                     
   103.22.200.65   13335   77.94               (Singapore, Singapore, SG, AS)                                                                                                     
   103.22.200.54   13335   78.097              (Singapore, Singapore, SG, AS)                                                                                                     
   103.22.200.90   13335   78.089              (Singapore, Singapore, SG, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   103.156.251.7   141235  78.446              (Singapore, Singapore, SG, AS)                                                                                                     
