   185.17.112.95   61135   0.0               (Bahçelievler, Istanbul, TR, AS) with-meanings.pinkrestful.com                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   46.31.76.22     61135   0.975                         (None, None, TR, AS) q10k2-2_a3--i509--dist_a3.comnet.com.tr                                                             
   46.31.76.2      61135   6.903                         (None, None, TR, AS) mx1_a4--i505--q10k2-2_a4.comnet.com.tr                                                              
   46.31.76.87     *       0.669                 (Istanbul, Istanbul, TR, AS) mx960_a1--i533--q10k2_1--mx1_a2.comnet.com.tr                                                       
   46.31.76.85     *       0.756                 (Istanbul, Istanbul, TR, AS) atakoy_ae0-mx204--i421--mx960_ae1.comnet.com.tr                                                     
   88.255.14.53    9121    0.642                 (Istanbul, Istanbul, TR, AS) turktelekom-atakoy.comnet.com.tr                                                                    
   81.212.199.166  9121    0.675                 (Istanbul, Istanbul, TR, AS) 00-atakoy-sr14s-t2-2---00-atakoy-sr12e-t3-7.statik.turktelekom.com.tr                               
   81.212.203.145  9121    1.194                         (None, None, TR, AS) 34-acibadem-xrs-t2-2---00-atakoy-xrs-t2-2.statik.turktelekom.com.tr                                 
   81.212.216.13   9121    1.601                       (Istanbul, 34, TR, AS) 34-acibadem-sr12e-t3-8---34-acibadem-xrs-t2-2.statik.turktelekom.com.tr                             
   ***             *       -inf                                           *** *                                                                                                   
   212.156.233.254 47331   9.913                          (Ankara, 6, TR, AS) 212.156.233.254.static.turktelekom.com.tr                                                           
   ***             *       -inf                                           *** *                                                                                                   
   78.189.206.22   9121    6.393                 (Adapazarı, Sakarya, TR, AS) 78.189.206.22.static.ttnet.com.tr                                                                   
