   45.12.55.69     208972  0.0                   (Istanbul, Istanbul, TR, AS) 45.12.55.69.addr-arpa.gibir.net                                                                     
   192.168.1.19    *       0.19                                           ***                                                                                                     
   10.255.0.17     *       0.38                                           ***                                                                                                     
   185.73.200.66   61135   0.655                 (Istanbul, Istanbul, TR, AS) reverse.comnetnetwork.com                                                                           
   46.31.76.85     *       0.697                 (Istanbul, Istanbul, TR, AS) atakoy_ae0-mx204--i421--mx960_ae1.comnet.com.tr                                                     
   88.255.14.53    9121    0.77                  (Istanbul, Istanbul, TR, AS) turktelekom-atakoy.comnet.com.tr                                                                    
   81.212.199.166  9121    0.777                 (Istanbul, Istanbul, TR, AS) 00-atakoy-sr14s-t2-2---00-atakoy-sr12e-t3-7.statik.turktelekom.com.tr                               
   81.212.203.145  9121    1.264                         (None, None, TR, AS) 34-acibadem-xrs-t2-2---00-atakoy-xrs-t2-2.statik.turktelekom.com.tr                                 
   81.212.216.13   9121    1.28                        (Istanbul, 34, TR, AS) 34-acibadem-sr12e-t3-8---34-acibadem-xrs-t2-2.statik.turktelekom.com.tr                             
   81.212.78.44    9121    1.103 (4.611)            (Istanbul, Istanbul, TR, AS) 81.212.78.44.static.turktelekom.com.tr                                                              
   212.156.233.254 47331   9.425                          (Ankara, 6, TR, AS) 212.156.233.254.static.turktelekom.com.tr                                                           
   ***             *       -inf                                           *** *                                                                                                   
   78.189.206.22   9121    6.635                 (Adapazarı, Sakarya, TR, AS) 78.189.206.22.static.ttnet.com.tr                                                                   
