   117.20.118.21   45498   0.0               (Phnom Penh, Phnom Penh, KH, AS)                                                                                                     
   117.20.118.17   45498   2.044             (Phnom Penh, Phnom Penh, KH, AS)                                                                                                     
   27.109.113.21   45498   1.167             (Phnom Penh, Phnom Penh, KH, AS)                                                                                                     
   27.109.113.7    45498   1.204                     (Phnom Penh, 12, KH, AS) *                                                                                                   
╭─ 27.109.113.4    45498   1.028             (Phnom Penh, Phnom Penh, KH, AS)                                                                                                     
S (45498, 137409)  asia-africa-europe-1-aae-1 ✘
╰─ 36.255.57.100   137409  42.67                         (None, None, HK, AS) 137409-hk1-ix.equinix.com                                                                           
   206.148.24.125  7578    47.248              (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   45.11.107.70    969     52.969              (Hong Kong, Hong Kong, HK, AS) e26-1-gsl.cr1a.eqhk2.hkg12.hk.917.as                                                                
   199.119.64.151  969     51.712              (Hong Kong, Hong Kong, HK, AS) po103-10.spine3.hkg12.hk.misaka.io                                                                  
   45.11.104.9     57695   52.505              (Hong Kong, Hong Kong, HK, AS) po30.0103.hkg12.hk.misaka.io                                                                        
   45.11.104.146   57695   52.598              (Hong Kong, Hong Kong, HK, AS) hk-hkg-as57695.anchors.atlas.ripe.net                                                               
