   141.193.21.100  46997   0.0                  (Seattle, Washington, US, NA) us-sea-as46997.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   202.5.31.217    201106  1.141               (Riverton, Washington, US, NA)                                                                                                     
   38.32.132.169   174     80.754               (Seattle, Washington, US, NA) hu0-1-0-2.nr51.b003148-2.sea03.atlas.cogentco.com                                                   
   154.24.13.57    174     81.168               (Seattle, Washington, US, NA) be4672.agr62.sea03.atlas.cogentco.com                                                               
   154.54.162.81   174     81.139               (Seattle, Washington, US, NA)                                                                                                     
   154.54.95.206   174     80.046               (Seattle, Washington, US, NA)                                                                                                     
╭─ 205.177.32.41   3491    75.04                        (Seattle, WA, US, NA) 205-177-32-41.static.pccwglobal.net                                                                 
S (3491)  hawaiki ✘ ↠ sea-us ✓ || hawaiki ✘ ↠ asia-america-gateway-aag-cable-system ✓
╰─ 63.218.122.178  3491    186.354                        (Manila, 0, PH, AS) TenGE0-0-2-1.br02.mnl01.pccwbtn.net                                                                 
   63.222.187.5    3491    185.806             (Manila, Metro Manila, PH, AS)                                                                                                     
