   103.102.166.20  14907   0.0                 (Singapore, Singapore, SG, AS) ripe-atlas-eqsin.wikimedia.org                                                                      
   103.102.166.19  14907   1.013               (Singapore, Singapore, SG, AS) ae1-530.cr2-eqsin.wikimedia.org                                                                     
   103.102.166.135 14907   1.117               (Singapore, Singapore, SG, AS) pccw-peering.cr2-eqsin.wikimedia.org                                                                
   63.218.164.102  3491    1.2                 (Singapore, Singapore, SG, AS) hu-0-0-0-2.br07.sin02.as3491.net                                                                    
╭─ 63.216.147.42   3491    0.917               (Singapore, Singapore, SG, AS) 63-216-147-42.static.pccwglobal.net                                                                 
S (3491, 60068)  apcn-2 👍 || eac-c2c ✓ || asia-pacific-gateway-apg ✓
╰─ 185.156.45.1    60068   86.817                (Tokyo / Narita, 12, JP, AS) vl1104.tyo-eq8-core-1.cdn77.com                                                                     
   84.17.33.105    57695   86.849                (Tokyo / Narita, 12, JP, AS) v3517.cr01.nrt04.jp.misaka.io                                                                       
   199.119.64.141  969     86.82                       (Tokyo, Tokyo, JP, AS) e32-20.spine1.nrt04.jp.misaka.io                                                                    
   103.170.232.11  142616  86.813                      (Tokyo, Tokyo, JP, AS) po-31.lag.nrt04.jp.misaka.io                                                                        
   103.170.232.152 142616  86.952                      (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
