   170.39.227.194  917     0.0                  (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   170.39.227.2    917     0.302                (Seattle, Washington, US, NA) v210.cr01.sea02.us.misaka.io                                                                        
   84.17.33.8      60068   0.325                (Seattle, Washington, US, NA) po77-3528.cr01.sea02.us.misaka.io                                                                   
   50.248.116.121  7922    0.663                (Seattle, Washington, US, NA) be-110-pe12.seattle.wa.ibone.comcast.net                                                            
   96.110.34.133   7922    0.743                        (Seattle, WA, US, NA) be-2212-cs02.seattle.wa.ibone.comcast.net                                                           
   96.110.44.86    7922    0.677                        (Seattle, WA, US, NA) be-2213-pe13.seattle.wa.ibone.comcast.net                                                           
   129.250.66.105  2914    0.684                         (None, None, US, NA) ae-9.sayonara-dorian.a02.sttlwa01.us.bb.gin.ntt.net                                                 
   129.250.2.72    2914    0.586 (8.275)                    (None, None, US, NA) ae-2.sayonara-dorian.r24.sttlwa01.us.bb.gin.ntt.net                                                 
   129.250.2.99    2914    0.579                         (None, None, US, NA) ae-0.sayonara-dorian.a03.sttlwa01.us.bb.gin.ntt.net                                                 
   157.238.230.223 2914    0.649                (Seattle, Washington, US, NA)                                                                                                     
   206.148.25.8    7578    0.521                (Seattle, Washington, US, NA) po2.sea-drtsea10-bb1.globalsecurelayer.com                                                          
   206.148.25.6    7578    29.662           (Los Angeles, California, US, NA) e49.lax-csla2-bb1.globalsecurelayer.com                                                             
   206.148.25.91   7578    29.578           (Los Angeles, California, US, NA) e49.lax-csla2-bb1.globalsecurelayer.com                                                             
╭─ 206.148.25.84   7578    127.091          (Los Angeles, California, US, NA) e50.ty-eqxty8-bb5.globalsecurelayer.com                                                             
S (7578)  
├─ 206.148.24.51   7578    127.175          (Sydney, New South Wales, AU, OC) e30.ty-eqxty8-bb1.globalsecurelayer.com                                                             
S (7578)  
╰─ 206.148.24.34   7578    127.075                     (Tokyo, Tokyo, JP, AS) po50-2.ty-eqxty8-cr2.globalsecurelayer.com                                                          
   206.148.24.37   7578    127.081                     (Tokyo, Tokyo, JP, AS) po11-3.ty-eqxty8-sw4.globalsecurelayer.com                                                          
   45.11.107.52    969     127.043                     (Tokyo, Tokyo, JP, AS) e52-1-gsl.cr1a.eqty8.nrt4.jp.917.as                                                                 
   199.119.64.137  969     127.03                      (Tokyo, Tokyo, JP, AS) e31-10.spine1.nrt04.jp.misaka.io                                                                    
   103.170.232.11  142616  126.952                     (Tokyo, Tokyo, JP, AS) po-31.lag.nrt04.jp.misaka.io                                                                        
   103.170.232.152 142616  127.174                     (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
