   107.162.217.5   55002   0.0                 (San Jose, California, US, NA)                                                                                                     
   107.162.217.1   55002   0.87             (Santa Clara, California, US, NA)                                                                                                     
   100.100.1.14    *       1.129                                          ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   206.223.117.192 *       3.535               (San Jose, California, US, NA) eqix-sv1.internet2.com                                                                              
   163.253.2.43    11537   7.188               (San Jose, California, US, NA) fourhundredge-0-0-0-2.4079.core2.sunn.net.internet2.edu                                             
   163.253.1.190   11164   7.759                         (None, None, US, NA) fourhundredge-0-0-0-1.4079.core2.sacr.net.internet2.edu                                             
   198.71.47.31    11164   4.456               (San Jose, California, US, NA)                                                                                                     
   137.164.46.7    2152    9.467                       (Tri-City, OR, US, NA) cor-agg8--tri-agg2--100ge.cenic.net                                                                 
   137.164.50.243  2152    10.784                        (Corona, CA, US, NA) sha-coe-1--cor-agg8-10g.cenic.net                                                                   
   137.164.34.84   2152    13.842                       (Shafter, CA, US, NA) sha-coe-2---to--sha-coe-1--10ge.cenic.net                                                           
   137.164.13.11   23483   10.22                        (Shafter, CA, US, NA) shacoe-gw2--sha-coe-2-10g.cenic.net                                                                 
   66.244.16.33    23483   10.59                (Redding, California, US, NA) us-rdd-as23483.anchors.atlas.ripe.net                                                               
