   23.170.33.3     54632   0.0          (Vancouver, British Columbia, CA, NA) ca-van-as397131.anchors.atlas.ripe.net                                                              
   23.170.32.1     54632   0.249        (Vancouver, British Columbia, CA, NA) xe-0-1-3-0-border2-van1.etinw.net                                                                   
   135.84.178.226  54527   1.454        (Vancouver, British Columbia, CA, NA)                                                                                                     
   199.167.20.18   54527   0.434                      (Vancouver, BC, CA, NA) ae0.van-dv1-cor-1.ahsv.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
╭─ 66.163.69.45    6327    1.845                      (Vancouver, BC, CA, NA) rc1st-be31-1.vc.shawcable.net                                                                       
S&T (6327)  ketchcan1-submarine-fiber-cable-system ✘
╰─ 66.163.70.106   6327    6.077                (Seattle, Washington, US, NA) rc2wt-be50-1.wa.shawcable.net                                                                       
   66.163.64.81    6327    5.956                      (Seattle, WA, US, None) rc1wt-be18-1.wa.shawcable.net                                                                       
   206.81.80.77    11164   8.223                      (Seattle, WA, US, None) six.tr-cps.internet2.edu                                                                            
   163.253.1.158   11164   33.689                        (None, None, US, NA) fourhundredge-0-0-0-19.4079.core1.seat.net.internet2.edu                                            
   163.253.2.166   11537   33.798               (Seattle, Washington, US, NA) fourhundredge-0-0-0-0.4079.core1.sacr.net.internet2.edu                                             
   163.253.1.37    11164   34.598                        (None, None, US, NA) fourhundredge-0-0-0-22.4079.core2.sacr.net.internet2.edu                                            
   198.71.47.31    11164   32.63               (San Jose, California, US, NA)                                                                                                     
   137.164.46.7    2152    36.853                      (Tri-City, OR, US, NA) cor-agg8--tri-agg2--100ge.cenic.net                                                                 
   137.164.50.243  2152    38.777                        (Corona, CA, US, NA) sha-coe-1--cor-agg8-10g.cenic.net                                                                   
   137.164.34.84   2152    38.26                        (Shafter, CA, US, NA) sha-coe-2---to--sha-coe-1--10ge.cenic.net                                                           
   137.164.13.11   23483   38.295                       (Shafter, CA, US, NA) shacoe-gw2--sha-coe-2-10g.cenic.net                                                                 
   66.244.16.33    23483   38.406               (Redding, California, US, NA) us-rdd-as23483.anchors.atlas.ripe.net                                                               
