   144.172.124.251 397031  0.0              (New York City, New York, US, NA)                                                                                                     
   144.172.124.225 397031  0.417 (3.955)       (New York City, New York, US, NA)                                                                                                     
   204.68.252.166  *       0.835               (Bloomfield, New York, US, NA) be5974.nr51.b024352-0.jfk01.atlas.cogentco.com                                                      
   154.24.67.33    174     1.271             (Graniteville, New York, US, NA) be2240.rcr24.jfk01.atlas.cogentco.com                                                               
   154.54.84.213   174     1.303            (New York City, New York, US, NA) be2897.ccr42.jfk02.atlas.cogentco.com                                                               
   154.54.80.2     174     1.498                       (New York, NY, US, NA) be3295.ccr31.jfk05.atlas.cogentco.com                                                               
╭─ 4.68.110.89     3356    1.597                       (New York, NY, US, NA) ae-24.edge2.NewYork6.Level3.net                                                                     
S (3356, 3549)  brusa ✓ || america-movil-submarine-cable-system-1-amx-1 © || south-america-1-sam-1 ✓ || globenet © || monet © || americas-ii 👍
╰─ 200.189.230.45  3549    111.099             (São Paulo, São Paulo, BR, SA) 45.230.189.200.static.ciriontechnologies.net                                                        
   8.242.31.34     3356    110.68              (São Paulo, São Paulo, BR, SA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   189.89.141.26   28186   123.712                     (Salvador, BA, BR, SA) 189-89-141-26.STATIC.itsweb.com.br                                                                  
   189.89.129.138  53242   111.151                     (Salvador, BA, BR, SA) 189-89-129-138.STATIC.itsweb.com.br                                                                 
   187.44.229.14   28186   111.696                  (Salvador, Bahia, BR, SA) 187-44-229-14.static.itsweb.com.br                                                                  
