   196.49.14.25    30997   0.0                 (Accra, Greater Accra, GH, AF)                                                                                                     
   196.49.14.1     30997   0.506               (Accra, Greater Accra, GH, AF)                                                                                                     
╭─ 197.221.70.89   *       0.92                (Accra, Greater Accra, GH, AF)                                                                                                     
S&T (, 3741)  
╰─ 196.14.240.4    3741    1.09                          (None, None, ZA, AF) *                                                                                                   
   168.209.160.87  3741    255.863                 (Richards Bay, NL, ZA, AF) *                                                                                                   
   168.209.160.86  3741    255.825            (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   196.26.0.10     3741    255.347                       (None, None, ZA, AF) pr1-pkl-ae0.ip.ddii.network                                                                         
   196.60.96.99    *       255.557            (Johannesburg, Gauteng, ZA, AF) xneelo-2.jinx.net.za                                                                                
   197.189.193.1   37153   259.806                      (Sandton, GP, ZA, AF) core-access-switch1.jnb1.host-h.net                                                                 
   197.189.194.147 37153   256.044            (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
