   102.212.60.247  329276  0.0              (Cape Town, Western Cape, ZA, AF) za-cpt-as329276.anchors.atlas.ripe.net                                                              
   102.212.60.2    329276  0.199             (Rosebank, Western Cape, ZA, AF) net.lnx-solutions.com                                                                               
   ***             *       -inf                                           *** *                                                                                                   
   41.84.12.26     37179   20.385                  (Johannesburg, GP, ZA, AF) core.100g-0-8-0-wc-ro-ter-scp-1.za.africainx.net                                                    
   41.84.12.155    37179   18.001    (Bloemfontein, Orange Free State, ZA, AF) core.ae0-fs-bl-is-nec-1.za.africainx.net                                                            
   41.84.12.46     37179   18.481           (Cape Town, Western Cape, ZA, AF) core.xe-0-2-0-gp-rb-pkl-scp-1.za.africainx.net                                                      
   41.84.12.191    37179   18.226                  (Johannesburg, GP, ZA, AF) core.xe-0-0-1-gp-cn-r21-mec-1.za.africainx.net                                                      
   41.84.12.159    37179   17.263                  (Johannesburg, GP, ZA, AF) core-xge-0-2-0-gp-sm-het-scp-1.za.africainx.net                                                     
   ***             *       -inf                                           *** *                                                                                                   
   41.66.132.246   37153   17.126                  (Johannesburg, GP, ZA, AF) 41-66-132-246-f6.hetzner-jhb-ip4-gw.africainx.net                                                   
   197.189.193.1   37153   22.195                       (Sandton, GP, ZA, AF) core-access-switch1.jnb1.host-h.net                                                                 
   197.189.194.147 37153   18.366             (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
