   91.232.156.247  57692   0.0                    (Helsinki, Uusimaa, FI, EU) fi-hel-as57692.anchors.atlas.ripe.net                                                               
   91.232.154.2    57692   0.235                  (Helsinki, Uusimaa, FI, EU) kapsi-gw1-vl1338.ip.kapsi.fi                                                                        
   87.236.154.128  47605   0.566                  (Helsinki, Uusimaa, FI, EU)                                                                                                     
   87.236.154.212  47605   0.639                  (Helsinki, Uusimaa, FI, EU)                                                                                                     
╭─ 87.245.248.161  9002    0.724                       (Helsinki, 18, FI, EU) ae12-100.RT.RAD.HKI.FI.retn.net                                                                     
T (9002)  
╰─ 87.245.232.54   9002    16.408                    (Moscow, Moscow, RU, EU) ae2-123.rt1.m9.msk.retn.ru                                                                          
   45.11.107.55    969     16.607       (Vostochnoe Degunino, Moscow, RU, EU) e54-1-439.cr1a.mmts9.mow1.ru.917.as                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   45.131.68.11    57578   16.538                    (Moscow, Moscow, RU, EU) po-31.lag.mow01.ru.misaka.io                                                                        
   45.142.246.158  57578   16.183                    (Moscow, Moscow, RU, EU) user-45-142-246-158.mow01.ru.misaka.io                                                              
