   77.46.127.110   41931   0.0                  (Białystok, Podlasie, PL, EU) ripe-anchor.euro-net.pl                                                                             
   77.46.127.1     41931   2.314                (Białystok, Podlasie, PL, EU) srv-gw.euro-net.pl                                                                                  
   77.46.118.6     41931   0.569                (Białystok, Podlasie, PL, EU) ms01-to-er01.euro-net.pl                                                                            
   91.189.250.9    42927   2.746                    (Warsaw, Mazovia, PL, EU) ip-91.189.250.9.s.net.pl                                                                            
╭─ 87.245.245.141  9002    2.839                    (Warsaw, Mazovia, PL, EU) ae10-420.rt.lim.waw.pl.retn.net                                                                     
T (9002)  
╰─ 87.245.232.54   9002    20.348                    (Moscow, Moscow, RU, EU) ae2-123.rt1.m9.msk.retn.ru                                                                          
   45.11.107.55    969     20.36        (Vostochnoe Degunino, Moscow, RU, EU) e54-1-439.cr1a.mmts9.mow1.ru.917.as                                                                 
   102.130.51.89   *       20.353                    (Moscow, Moscow, RU, EU) e51-10.spine4.mow01.ru.misaka.io                                                                    
   45.131.68.11    57578   20.149                    (Moscow, Moscow, RU, EU) po-31.lag.mow01.ru.misaka.io                                                                        
   45.142.246.158  57578   20.32                     (Moscow, Moscow, RU, EU) user-45-142-246-158.mow01.ru.misaka.io                                                              
