   104.238.161.230 20473   0.0                          (Ōi, Saitama, JP, AS) 104.238.161.230.vultrusercontent.com                                                                
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.71.0.177     *       1.019                                          ***                                                                                                     
   10.71.3.25      *       1.037                                          ***                                                                                                     
   10.71.4.37      *       1.169                                          ***                                                                                                     
   63.216.242.45   3491    0.877                       (Tokyo, Tokyo, JP, AS) gi0-0-0-3.843.br04.tok01.as3491.net                                                                 
   63.218.250.190  3491    1.053                          (Tokyo, 13, JP, AS) HundredGE0-4-0-2.br02.tok02.pccwbtn.net                                                             
   205.177.84.34   41095   0.837                       (Fukuoka, 7, JP, None) 205-177-84-34.static.pccwglobal.net                                                                 
   103.23.168.233  41095   0.907                          (Tokyo, 13, JP, AS) be2.r0.bc05.bbt.ty.jp.iptp.net                                                                      
   103.23.168.198  59103   1.588                          (Tokyo, 13, JP, AS) as59103.r0.214.ty2.eq.jp.iptp.net                                                                   
   103.41.60.171   59103   1.65                          (None, None, JP, AS) koba-bgprt1.tokyo-ix.v4.open.ad.jp                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   103.143.136.43  63781   2.299                       (Tokyo, Tokyo, JP, AS) koba-103-143-136-43.rev.kobayashi.ad.jp                                                             
