   23.129.64.254   396507  0.0                  (Seattle, Washington, US, NA)                                                                                                     
   23.129.64.129   396507  0.588                (Seattle, Washington, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
╭─ 184.105.80.60   6939    19.634              (San Jose, California, US, NA) 100ge0-39.core4.sjc2.he.net                                                                         
S (6939)  faster ✓ || pacific-crossing-1-pc-1 ✘ || jupiter ✓ || japan-u-s-cable-network-jus ✓ || tata-tgn-pacific ✓
╰─ 184.104.194.38  6939    126.813               (Tokyo / Narita, 12, JP, AS) 100ge8-1.core1.tyo1.he.net                                                                          
   203.190.230.227 *       127.178             (Motoyoyogichō, Tokyo, JP, AS)                                                                                                     
   103.48.31.118   59105   127.384             (Motoyoyogichō, Tokyo, JP, AS) ge-2-0-8.pop03er03.bb.homenoc.ad.jp                                                                 
   103.41.60.172   10010   127.615                     (Tokyo, Tokyo, JP, AS) koba-bgprt2.tokyo-ix.v4.open.ad.jp                                                                  
   103.143.136.30  63781   131.906             (Motoyoyogichō, Tokyo, JP, AS) ospfrt1-bgprt2.kobayashi.ad.jp                                                                      
   103.143.136.43  63781   128.926                     (Tokyo, Tokyo, JP, AS) koba-103-143-136-43.rev.kobayashi.ad.jp                                                             
