   66.244.16.33    23483   0.0                  (Redding, California, US, NA) us-rdd-as23483.anchors.atlas.ripe.net                                                               
   66.244.16.8     23483   0.339                (Redding, California, US, NA) shastacoe.net                                                                                       
   137.164.13.10   2152    0.775                (Redding, California, US, NA) sha-coe-2--shacoe-gw2-10g.cenic.net                                                                 
   137.164.34.85   2152    1.037                (Redding, California, US, NA) sha-coe-1---to--sha-coe-2--10ge.cenic.net                                                           
   137.164.50.242  2152    1.956                (Redding, California, US, NA) cor-agg8--sha-coe-1-10g.cenic.net                                                                   
   137.164.46.6    2152    9.17              (Sacramento, California, US, NA) sacr2-agg-01--cor-agg8--100g--01.cenic.net                                                          
   137.164.11.88   2152    8.982                        (Oakland, CA, US, NA) dc-oak-agg8--tri-agg2-300g.cenic.net                                                                
   137.164.11.94   2152    8.877                      (Sunnyvale, CA, US, NA) dc-svl-agg10--oak-agg8-300g.cenic.net                                                               
╭─ 206.223.116.43  2516    9.367                     (San Jose, CA, US, None) ix-sj1.kddnet.ad.jp                                                                                 
S (2516)  
╰─ 111.87.3.237    2516    9.424                         (None, None, JP, AS) *                                                                                                   
   106.187.13.45   2516    110.268                       (None, None, JP, AS) *                                                                                                   
   27.85.225.106   2516    114.909                     (Tokyo, Tokyo, JP, AS)                                                                                                     
   27.86.32.6      2516    108.735                       (Meieki, 23, JP, AS) oteJIN301.int-gw.kddi.ne.jp                                                                         
   125.29.26.14    2516    116.959                     (Tokyo, Tokyo, JP, AS)                                                                                                     
   133.208.191.39  2518    115.38                        (None, None, JP, AS) *                                                                                                   
   133.208.55.18   59105   119.49                        (None, None, JP, AS) *                                                                                                   
   103.48.31.66    59105   113.907                       (None, None, JP, AS) gi0-0-0.noc01cr01.bb.homenoc.ad.jp                                                                  
   103.48.31.123   59105   127.164                       (None, None, JP, AS) v1100.ge-0-0-8.pop03er03.bb.homenoc.ad.jp                                                           
   103.41.60.172   10010   121.547                     (Tokyo, Tokyo, JP, AS) koba-bgprt2.tokyo-ix.v4.open.ad.jp                                                                  
   103.143.136.30  63781   118.498             (Motoyoyogichō, Tokyo, JP, AS) ospfrt1-bgprt2.kobayashi.ad.jp                                                                      
   103.143.136.43  63781   117.455                     (Tokyo, Tokyo, JP, AS) koba-103-143-136-43.rev.kobayashi.ad.jp                                                             
