   182.18.209.9    23944   0.0                 (Manila, Metro Manila, PH, AS)                                                                                                     
   182.18.209.1    23944   0.832          (Quezon City, Metro Manila, PH, AS) 209-182.gw.skybroadband.com.ph                                                                      
╭─ 130.105.0.32    23944   0.317          (Quezon City, Metro Manila, PH, AS)                                                                                                     
S (23944, 41095)  jupiter ✓
╰─ 103.203.158.26  41095   38.325                        (None, None, JP, AS) *                                                                                                   
   103.23.168.233  41095   63.817                         (Tokyo, 13, JP, AS) be2.r0.bc05.bbt.ty.jp.iptp.net                                                                      
   103.23.168.233  41095   63.817                         (Tokyo, 13, JP, AS) be2.r0.bc05.bbt.ty.jp.iptp.net                                                                      
   103.23.168.198  59103   63.262                         (Tokyo, 13, JP, AS) as59103.r0.214.ty2.eq.jp.iptp.net                                                                   
   103.41.60.171   59103   63.272                        (None, None, JP, AS) koba-bgprt1.tokyo-ix.v4.open.ad.jp                                                                  
   103.143.136.26  63781   66.071                        (None, None, JP, AS) ospfrt1-bgprt1.kobayashi.ad.jp                                                                      
   103.143.136.43  63781   63.656                      (Tokyo, Tokyo, JP, AS) koba-103-143-136-43.rev.kobayashi.ad.jp                                                             
