   159.65.150.114  14061   0.0            (Doddaballapura, Karnataka, IN, AS) in-blr-as14061.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.66.66.6      *       0.427                                          ***                                                                                                     
   143.198.252.92  *       0.279               (Bengaluru, Karnataka, IN, AS)                                                                                                     
   143.244.192.22  *       0.332               (Bengaluru, Karnataka, IN, AS)                                                                                                     
   143.244.225.128 *       0.418               (Bengaluru, Karnataka, IN, AS)                                                                                                     
   14.143.245.181  4755    0.772               (Bengaluru, Karnataka, IN, AS) 14.143.245.181.static-banglore.vsnl.net.in                                                          
   ***             *       -inf                                           *** *                                                                                                   
   115.114.12.186  4755    35.174                      (Delhi, Delhi, IN, AS) 115.114.12.186.static-delhi.vsnl.net.in                                                             
   180.179.197.202 17439   35.397                        (None, None, IN, AS) *                                                                                                   
   180.179.210.68  132420  39.157                        (None, None, IN, AS) 180-179-210-68.static.e2enetworks.in                                                                
   216.48.178.84   132420  35.565              (Noida, Uttar Pradesh, IN, AS) e2e-95-84.ssdcloudindia.net                                                                         
