   203.41.0.254    1221    0.0             (Perth, Western Australia, AU, OC) atlas-per.telstra.net                                                                               
   203.41.0.253    1221    0.436           (Perth, Western Australia, AU, OC)                                                                                                     
   138.217.126.78  1221    0.674           (Perth, Western Australia, AU, OC) tel4198820.lnk.telstra.net                                                                          
   138.217.126.77  1221    1.215           (Perth, Western Australia, AU, OC) bundle-ether801-219.pie-edge903.perth.telstra.net                                                   
   203.50.6.176    1221    1.481                          (Perth, WA, AU, OC) bundle-ether11.pie-core10.perth.telstra.net                                                         
   203.50.6.189    1221    0.824                          (Perth, WA, AU, OC) bundle-ether1.pie-edge902.perth.telstra.net                                                         
   139.130.110.94  1221    1.173           (Perth, Western Australia, AU, OC) voc1256236.lnk.telstra.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   103.1.77.96     4826    49.942                        (None, None, AU, OC) be200.lsr01.stpk.wa.vocus.network                                                                   
   103.1.76.144    4826    47.444                        (None, None, AU, OC) be803.lsr01.brdg.nsw.vocus.network                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   114.31.192.49   4826    48.926                       (Sydney, NSW, AU, OC) be101.bdr01.syd01.nsw.vocus.network                                                                 
   49.255.250.54   3491    49.09                        (Sydney, NSW, AU, OC) as0.bdr01.syd03.nsw.VOCUS.net.au                                                                    
   63.222.191.5    3491    48.754           (Sydney, New South Wales, AU, OC)                                                                                                     
