   78.141.215.164  20473   0.0               (Haarlem, North Holland, NL, EU) 78.141.215.164.vultrusercontent.com                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   100.100.200.1   *       1.519 (11.87)                                     ***                                                                                                     
   10.72.1.109     *       1.231                                          ***                                                                                                     
   10.72.4.9       *       1.041                                          ***                                                                                                     
   154.14.36.77    3257    0.692           (Amsterdam, North Holland, NL, EU) et-0-0-5.cr2-ams13.ip4.gtt.net                                                                      
   89.149.182.74   3257    1.642                      (Amsterdam, NH, NL, EU) ae0.cr3-ams2.ip4.gtt.net                                                                            
╭─ 63.218.65.1     3491    1.638                      (Amsterdam, NH, NL, EU) *                                                                                                   
S&T (3491)  ulysses-2 ✘ || zeus ✓ || circe-north ✓ || scylla ✘ || concerto ✘ || farland-north ✘
╰─ 63.223.14.66    3491    7.041                       (London, None, GB, EU) bundle-ether42.br01.ldn12.pccwbtn.net                                                               
   63.222.217.4    3491    6.7                      (London, England, GB, EU)                                                                                                     
