   92.243.9.77     203476  0.0                 (Paris, Île-de-France, FR, EU) ripe-atlas-sd5.ghst.net                                                                             
   92.243.15.252   203476  0.454         (Saint-Denis, Île-de-France, FR, EU) team41.igw-3-r.sd6.paris.ip4.as203476.net                                                           
   217.70.176.8    29169   0.447         (Saint-Denis, Île-de-France, FR, EU) et11-1.core-2.csd4.gandi.net                                                                        
   173.246.102.2   29169   0.481         (Saint-Denis, Île-de-France, FR, EU) et29-1.edge-1.sd4.gandi.net                                                                         
   149.11.0.61     174     1.075         (Saint-Denis, Île-de-France, FR, EU) be5264.rcr21.b019498-0.par01.atlas.cogentco.com                                                     
╭─ 154.54.60.125   174     1.127         (Saint-Denis, Île-de-France, FR, EU) be3594.ccr42.par01.atlas.cogentco.com                                                               
S&T (174)  seamewe-3 ✓
╰─ 154.54.60.174   174     8.706                        (London, ENG, GB, EU) be3685.ccr52.lhr01.atlas.cogentco.com                                                               
   154.54.62.162   174     9.114                        (London, ENG, GB, EU) be2479.agr01.lhr01.atlas.cogentco.com                                                               
   154.25.7.166    174     8.928                        (London, ENG, GB, EU) te0-0-2-2.nr11.b020862-1.lhr01.atlas.cogentco.com                                                   
   149.14.76.82    174     8.421                    (London, England, GB, EU)                                                                                                     
   195.66.243.22   5459    9.177                    (Ealing, England, GB, EU) et-0-0-1-border2-thn.linx.net                                                                       
   195.66.241.220  5459    9.132                    (London, England, GB, EU) ripe-anchor.linx.net                                                                                
