   185.122.101.201 203596  0.0                 (Paris, Île-de-France, FR, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   149.14.152.113  174     1.472               (Paris, Île-de-France, FR, EU) te0-5-0-8.rcr21.b032899-0.par01.atlas.cogentco.com                                                  
╭─ 130.117.0.33    174     2.042               (Paris, Île-de-France, FR, EU) be2921.ccr41.par01.atlas.cogentco.com                                                               
S&T (174)  seamewe-3 ✓
╰─ 154.54.60.170   174     9.152                        (London, ENG, GB, EU) be3684.ccr51.lhr01.atlas.cogentco.com                                                               
   130.117.48.138  174     9.194                        (London, ENG, GB, EU) be3671.agr21.lhr01.atlas.cogentco.com                                                               
   154.25.7.162    174     9.208                        (London, ENG, GB, EU) te0-0-2-0.nr11.b020862-1.lhr01.atlas.cogentco.com                                                   
   149.14.76.82    174     8.674                    (London, England, GB, EU)                                                                                                     
   195.66.243.22   5459    9.643                    (Ealing, England, GB, EU) et-0-0-1-border2-thn.linx.net                                                                       
   195.66.241.220  5459    9.542                    (London, England, GB, EU) ripe-anchor.linx.net                                                                                
