   77.214.52.102   9158    0.0               (Aalborg, North Denmark, DK, EU)                                                                                                     
   77.214.52.101   9158    0.298                          (Farum, 84, DK, EU) *                                                                                                   
   212.133.12.50   3356    0.298 (6.002)    (Copenhagen, Capital Region, DK, EU) telenor-as.edge2.copenhagen2.level3.net                                                             
   212.133.12.49   3356    6.788         (Copenhagen, Capital Region, DK, EU) et-1-0-25.edge2.copenhagen2.level3.net                                                              
╭─ 4.68.37.238     1257    7.89                    (Copenhagen, None, DK, EU) Tele2-level3-Copenhagen2.Level3.net                                                                 
S&T (1257)  energinet-laeso-varberg ✘ || globalconnect-2-gc2 ✘ || kattegat-2 ✓ || denmark-sweden-16 ✓
╰─ 91.129.14.69    1257    16.186                      (Malmö, Skåne, SE, EU) brn-core-1.bundle-ether13.tele2.net                                                                 
   91.129.12.54    1257    16.246                        (None, None, SE, EU) jkg-core-1.bundle-ether2.tele2.net                                                                  
   91.129.13.111   1257    16.107              (Stockholm, Stockholm, SE, EU) jkg300-cagg-1.bundle-ether2.tele2.net                                                               
   91.129.13.103   1257    16.363              (Stockholm, Stockholm, SE, EU) lkg462-agg-1.bundle-ether2.tele2.net                                                                
   91.129.19.61    1257    16.155              (Stockholm, Stockholm, SE, EU) lkg462-sn-1.eth-trunk2.tele2.net                                                                    
   81.216.114.69   1257    16.856                        (None, None, SE, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   192.36.132.253  1257    16.094           (Linköping, Östergötland, SE, EU)                                                                                                     
   31.15.54.138    1257    16.511           (Linköping, Östergötland, SE, EU)                                                                                                     
