   185.215.195.14  205493  0.0       (Trieste, Friuli Venezia Giulia, IT, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   151.22.68.225   1267    1.201     (Prosecco-Contovello, Friuli Venezia Giulia, IT, EU)                                                                                                     
   151.4.88.21     1267    3.481     (Trieste, Friuli Venezia Giulia, IT, EU)                                                                                                     
   151.6.52.238    1267    3.869            (Ravenna, Emilia-Romagna, IT, EU)                                                                                                     
   151.6.52.230    1267    3.859            (Ravenna, Emilia-Romagna, IT, EU)                                                                                                     
   151.6.7.32      1267    8.275                    (Milan, Lombardy, IT, EU)                                                                                                     
   151.6.1.178     1267    8.522                    (Milan, Lombardy, IT, EU)                                                                                                     
   217.29.67.38    *       13.268                   (Milan, Lombardy, IT, EU) telmekom.mix-it.net                                                                                 
   185.144.72.136  49088   13.819                       (Schenna, 32, IT, EU) 185-144-72-136.ip4.tkom.io                                                                          
   185.144.72.166  49088   13.739                       (Schenna, 32, IT, EU) 185-144-72-166.ip4.tkom.io                                                                          
   185.144.72.8    49088   13.245                    (Mirano, Veneto, IT, EU) voicetunnel.tkom.io                                                                                 
