   80.247.237.225  15826   0.0       (Ramonville-Saint-Agne, Occitanie, FR, EU) ancre-atlas.nfrance.com                                                                             
   80.247.237.238  15826   0.369                (Toulouse, Occitanie, FR, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   213.152.16.77   8218    0.785                (Toulouse, Occitanie, FR, EU) vl104.xe-150-0-38.ter1.batl.tls.core.as8218.eu                                                      
   83.167.55.237   8218    1.134                (Toulouse, Occitanie, FR, EU) ae0.tcr2.bal.tls.core.as8218.eu                                                                     
   83.167.56.246   8218    4.837                (Toulouse, Occitanie, FR, EU) ae3.ter2.neodc.mpl.core.as8218.eu                                                                   
   83.167.55.234   8218    4.816                (Toulouse, Occitanie, FR, EU) ae4.ter1.neodc.mpl.core.as8218.eu                                                                   
╭─ 83.167.56.138   8218    6.709     (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) ae8.tcr1.itx.mrs.core.as8218.eu                                                                     
S&T (8218, 15699)  
╰─ 193.149.1.105   15699   21.611                      (Madrid, 29, ES, None) adam.baja.espanix.net                                                                               
   87.236.216.213  15699   22.554                    (Madrid, Madrid, ES, EU)                                                                                                     
   87.236.216.226  15699   22.101                        (None, None, ES, EU) *                                                                                                   
   37.46.78.28     15699   22.161                    (Madrid, Madrid, ES, EU)                                                                                                     
   37.46.78.66     15699   22.53          (Alcalá de Henares, Madrid, ES, EU)                                                                                                     
