   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.162            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.228            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.833            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    0.611                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   203.50.13.131   1221    11.707               (Melbourne, Victoria, AU, OC) bundle-ether3.win-core30.melbourne.telstra.net                                                      
   203.50.6.228    1221    19.667                      (Adelaide, SA, AU, OC) bundle-ether2.fli-core10.adelaide.telstra.net                                                       
   203.50.6.233    1221    48.858                         (Perth, WA, AU, OC) bundle-ether3.wel-core10.perth.telstra.net                                                          
╭─ 203.50.9.6      4637    48.328                       (Sydney, NSW, AU, OC) bundle-ether1.pthw-core02.telstraglobal.net                                                         
S (4637)  seamewe-3 👍 || indigo-west 👍 || australia-singapore-cable-asc ✓
╰─ 202.84.141.237  4637    96.034              (Singapore, Singapore, SG, AS) i-25154.sgcn-core01.telstraglobal.net                                                               
   202.84.141.237  4637    96.034              (Singapore, Singapore, SG, AS) i-25154.sgcn-core01.telstraglobal.net                                                               
   202.84.224.197  4637    96.627              (Singapore, Singapore, SG, AS) i-91.istt04.telstraglobal.net                                                                       
   63.218.165.85   3491    96.854                      (Singapore, 4, SG, AS) 63-218-165-85.static.pccwglobal.net                                                                 
   63.223.34.146   3491    96.437                      (Singapore, 4, SG, AS) bundle-ether46.br06.sin02.pccwbtn.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   203.174.85.106  38001   98.205              (Singapore, Singapore, SG, AS)                                                                                                     
