   202.152.129.74  23951   0.0               (Yogyakarta, Yogyakarta, ID, AS) 202-152-129-74.citra.net.id                                                                         
   202.152.129.73  23951   0.447     (Pugeran Maguwoharjo, Yogyakarta, ID, AS) 202-152-129-73.citra.net.id                                                                         
   202.152.153.20  23951   0.775     (Pugeran Maguwoharjo, Yogyakarta, ID, AS) 202-152-153-20.as23951.net                                                                          
   202.152.153.209 23951   13.087                  (Jakarta, Jakarta, ID, AS) idcd3.dmix.bdr1.cgk.as23951.net                                                                     
   117.20.51.55    23951   13.199                 (Depok, Yogyakarta, ID, AS) oixp.as23951.net                                                                                    
   ***             *       -inf                                           *** *                                                                                                   
   218.100.36.33   131111  13.167                      (Jakarta, 4, ID, None) moratel.openixp.net                                                                                 
╭─ 103.83.6.21     *       13.189                  (Jakarta, Jakarta, ID, AS) ip-103-83-6-21.moratelindo.net.id                                                                   
S&T (, 23947)  australia-singapore-cable-asc ✘ || matrix-cable-system ✘ || b2js-jakarta-bangka-batam-singapore-cable-system ✘ || indonesia-global-gateway-igg-system ✘ || seamewe-3 ✘ || indigo-west ✘ || jakarta-bangka-bintan-batam-singapore-b3js ✘ || jasuka ✘ || jakabare ✘
╰─ 103.116.125.1   23947   25.747              (Singapore, Singapore, SG, AS)                                                                                                     
   103.116.125.2   23947   24.742              (Singapore, Singapore, SG, AS)                                                                                                     
