   209.189.223.8   7752    0.0                  (Seattle, Washington, US, NA) 209-189-223-8.ip.threshinc.net                                                                      
   209.189.223.13  7752    0.159                (Seattle, Washington, US, NA) 209-189-223-13.ip.threshinc.net                                                                     
   209.189.201.203 7752    0.278                (Seattle, Washington, US, NA) eth47.br01.sttlwawb.pop.threshinc.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
╭─ 184.104.188.77  6939    4.801                   (Portland, Oregon, US, NA) 100ge0-28.core1.pdx3.he.net                                                                         
S (6939)  
╰─ 184.104.195.146 6939    131.426                    (Auckland, AUK, NZ, OC) 100ge0-35.core1.akl2.he.net                                                                         
   216.218.224.39  6939    130.702               (Auckland, Auckland, NZ, OC) two-degrees-mobile-limited.e0-33.core1.akl2.he.net                                                  
   ***             *       -inf                                           *** *                                                                                                   
   131.203.72.166  9790    131.511               (Auckland, Auckland, NZ, OC) default-rdns.vocus.co.nz                                                                            
   131.203.72.165  9790    131.758               (Auckland, Auckland, NZ, OC) default-rdns.vocus.co.nz                                                                            
   103.242.68.65   133075  131.925                  (Wellington, WGN, NZ, OC) *                                                                                                   
   103.242.68.78   133075  132.278               (Auckland, Auckland, NZ, OC) 103-242-68-78.broadband.telesmart.co.nz                                                             
