   166.0.65.4      396163  0.0                  (Seattle, Washington, US, NA)                                                                                                     
   166.0.65.3      396163  0.122                (Seattle, Washington, US, NA)                                                                                                     
   216.200.68.81   6461    0.656                (Seattle, Washington, US, NA) 0.xe-200-0-57.er1.sea3.us.zip.zayo.com                                                              
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   208.184.12.129  6461    1.03                 (Seattle, Washington, US, NA) zayo-he.ter1.sea1.us.zip.zayo.com                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   184.105.64.138  6939    4.915                       (Portland, OR, US, NA) 100ge15-1.core1.pdx1.he.net                                                                         
   184.104.195.66  6939    5.901                       (Portland, OR, US, NA) 100ge0-36.core1.pdx2.he.net                                                                         
╭─ 184.104.188.77  6939    5.774                   (Portland, Oregon, US, NA) 100ge0-28.core1.pdx3.he.net                                                                         
S (6939)  
╰─ 184.104.195.146 6939    132.408                    (Auckland, AUK, NZ, OC) 100ge0-35.core1.akl2.he.net                                                                         
   216.218.224.39  6939    131.131               (Auckland, Auckland, NZ, OC) two-degrees-mobile-limited.e0-33.core1.akl2.he.net                                                  
   ***             *       -inf                                           *** *                                                                                                   
   131.203.72.166  9790    132.427               (Auckland, Auckland, NZ, OC) default-rdns.vocus.co.nz                                                                            
   131.203.72.165  9790    131.964               (Auckland, Auckland, NZ, OC) default-rdns.vocus.co.nz                                                                            
   103.242.68.65   133075  132.332                  (Wellington, WGN, NZ, OC) *                                                                                                   
   103.242.68.78   133075  133.107               (Auckland, Auckland, NZ, OC) 103-242-68-78.broadband.telesmart.co.nz                                                             
